You are now connected to database "nc_news" as user "rob".
"ALL COMMENTS WHERE VOTES ARE MORE THAN 10"
 comment_id | article_id |                                                                                                                                                                                       body                                                                                                                                                                                       | votes |    author    |     created_at      
------------+------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+--------------+---------------------
        246 |         25 | Nesciunt iusto sed illo explicabo. Molestias dolorem ut dignissimos est sint quia optio praesentium. Dignissimos non itaque. Hic necessitatibus minus modi laudantium iure voluptatibus. Et recusandae harum voluptates expedita deserunt deleniti et. Ratione minima ullam dignissimos aliquam.                                                                                 |    20 | happyamy2016 | 2020-03-03 18:00:00
        119 |         14 | Rerum asperiores et aut illum iste. Sunt pariatur voluptate at quas nostrum.                                                                                                                                                                                                                                                                                                     |    20 | grumpy19     | 2020-01-24 20:11:00
        239 |          6 | Alias quos temporibus. Non non facere hic eligendi totam placeat. Distinctio aliquid voluptates aut aperiam aut est inventore error tenetur. Totam et eos vel in quos asperiores vero cumque tempora. Eligendi nihil deleniti iusto laborum velit neque dolore.                                                                                                                  |    20 | cooljmessy   | 2020-09-18 01:11:00
        276 |         12 | Voluptatem unde dolor id et. Voluptas vitae soluta. Rerum aperiam illum dolores ducimus optio et possimus dolorum quo.                                                                                                                                                                                                                                                           |    20 | weegembump   | 2020-10-20 01:11:00
         25 |         20 | Ea et molestiae error. Esse harum facilis vitae numquam. Minus id eaque. Dolores nulla ipsam animi sapiente perspiciatis qui possimus.                                                                                                                                                                                                                                           |    20 | grumpy19     | 2020-08-20 07:19:00
        189 |         16 | Architecto nesciunt enim totam deleniti nobis enim eum consequatur. Ut nostrum voluptates excepturi minus ipsam dolorem nostrum.                                                                                                                                                                                                                                                 |    19 | happyamy2016 | 2020-04-05 07:00:00
        186 |         21 | Nisi culpa molestiae est molestias animi minus. Labore aut doloribus placeat et qui explicabo odio.                                                                                                                                                                                                                                                                              |    19 | tickle122    | 2020-09-19 17:23:00
        188 |         28 | Qui at et qui pariatur saepe ea libero. Voluptate voluptatem qui est qui quasi et. Consequatur illo voluptatem ea autem vel vel. Perferendis iure ab voluptate asperiores odio odit dolores. Rem et nulla dolorem et dignissimos culpa. Voluptatibus nihil consequatur aspernatur debitis velit quaerat sequi praesentium.                                                       |    19 | cooljmessy   | 2020-08-03 14:07:00
        286 |          1 | Ut accusamus enim vel voluptate quae temporibus labore neque a. Reprehenderit iste est eos velit fugit vel quod velit.                                                                                                                                                                                                                                                           |    19 | cooljmessy   | 2020-04-26 02:14:00
